,title,category_id,views,likes,favorites,comments,date,tags
46,[FULL영상] 연애의 참견2 다시보기 | EP.26,24,757238,2695,0,Nan,2019-03-06T03:00:45Z,"['KBSN', '연애의 참견', '연애의 참견2', '연참2', '서장훈', '김숙', '한혜진', '곽정은', '주우재']"
47,[FULL영상] 연애의 참견2 다시보기 | EP.25,24,843320,3020,0,Nan,2019-02-27T01:57:48Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의참견2']"
48,[FULL영상] 연애의 참견2 다시보기 | EP.24,24,628733,2434,0,Nan,2019-02-20T03:11:19Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견 2']"
49,[FULL영상] 연애의 참견2 다시보기 | EP.23,24,758467,2622,0,Nan,2019-02-13T07:01:44Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견2']"
50,[FULL영상] 연애의 참견2 다시보기 | EP.22,24,760229,2459,0,Nan,2019-02-07T06:24:40Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견2']"
51,[FULL영상] 연애의 참견2 다시보기 | EP.21,24,848055,2843,0,Nan,2019-01-30T03:44:56Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견2']"
52,[FULL영상] 연애의 참견2 다시보기 | EP.20,24,846309,2705,0,Nan,2019-01-23T06:28:13Z,"['KBSN', '연애', '참견', '조언', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
53,[FULL영상] 연애의 참견2 다시보기 | EP.19,24,775299,3051,0,Nan,2019-01-16T03:39:06Z,"['연애', '참견', '조언', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
54,[FULL영상] 연애의 참견2 다시보기 | EP.18,24,647300,2099,0,Nan,2019-01-02T10:09:19Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
55,[FULL영상] 연애의 참견2 다시보기 | EP.17,24,913079,3328,0,Nan,2019-01-03T00:50:11Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
56,[FULL영상] 연애의 참견2 다시보기 | EP.16,24,744528,2579,0,Nan,2018-12-26T09:05:35Z,"['무료', '다시보기', '연애의 참견2', '연참', '연참2', '16회', 'full', '영상']"
57,[FULL영상] 연애의 참견2 다시보기 | EP.15,24,709879,2490,0,Nan,2018-12-19T02:29:07Z,"['무료 다시보기', '다시보기', '무료', '연애의 참견', '연참', '연애의 참견2', '15회', 'FULL', '영상']"
58,[FULL영상] 연애의 참견2 다시보기 | EP.14,24,812315,2955,0,Nan,2018-12-12T04:36:45Z,"['연애의 참견', '연참', '연참2', '연애의 참견2', '14회', 'full', '영상', '무료', '다시보기', '무료 다시보기']"
59,[FULL영상] 연애의 참견2 다시보기 | EP.13,24,855132,2957,0,Nan,2018-12-06T01:52:27Z,"['무료', '다시보기', '연애의 참견', '연참2', '13회', 'full', '영상', 'kbsn']"
